questions,answers
when was bill clinton elected president?,"1996 Democratic National Convention, 1992 Democratic National Convention"
where did giovanni pierluigi da palestrina live?,Italy
when michael jordan got drafted?,1984 NBA Draft
what kind of money do the philippines use?,Philippine peso
who played dorothy in the wizard of oz movie?,Judy Garland
who does marion barber play 4?,"Chicago Bears, Minnesota Golden Gophers football, Dallas Cowboys"
who is garrett pretty little liars?,American football player
what type of currency should i take to mexico?,Mexican peso
what did lucille ball die of?,Aortic dissection
where was the earthquake in chile 2010?,Maule Region
what style of art does andy warhol do?,Pop art
what movies did ron howard do?,"Apollo 13, A Beautiful Mind, Curious George, Happy Days, Cocoon, From the Earth to the Moon"
what county is charlotte north carolina?,Mecklenburg County
who is michelle obama?,"Writer, Lawyer"
where did kate middleton go to prep school?,"St Andrew's School, Pangbourne"
what type of government does nigeria have today?,"Presidential system, Federal republic, Federation"
what did hans oersted discovered in 1819?,Aluminium
what kourtney kardashian name her daughter?,Penelope Scotland Disick
when did the lions last win a thanksgiving game?,Tombo
what kind of government does chile have today?,"Presidential system, Republic, Unitary state"
where did richard arkwright die?,Cromford
where does sam bradford play?,St. Louis Rams
where did vietnam originate?,Asia
what was the first newspaper called in australia?,Sydney Gazette
where does the st louis rams play football?,Edward Jones Dome
what year did scottie pippen come into the nba?,1987
where are you if you re in zagreb?,Croatia
which country has won the cricket world cup the most times?,The Cup
who does dominic monaghan play in lord of the rings?,Meriadoc Brandybuck
which country does south africa border 2 the north?,"Lesotho, Zimbabwe, Mozambique, Swaziland, Namibia, Botswana"
who sang for pink floyd?,David Gilmour
who played john connor friend in terminator 2?,Edward Furlong
what shows did henry winkler produce?,"Mr. Sunshine, Dallas Reunion: The Return to Southfork, MacGyver, So Weird, Dead Man's Gun, WinTuition"
what state was texaco gas founded?,"New York, California"
what is the official language of china and 3 other dialects?,Standard Mandarin
who is the senator of connecticut 2010?,Chris Dodd
what is brazil time zone?,"UTC−02:00, UTC−04:00, UTC−03:00"
who wrote john 3 16 in the bible?,Gospel of John
what do people in the czech republic speak?,Czech Language
who was tex beneke?,"Singer, Musician"
what are all the things thomas edison invented?,"Phonograph, Carbon microphone, Mimeograph, Quadruplex telegraph, Electric power distribution, Movie camera, Incandescent light bulb, Phonograph cylinder"
what does albania speak?,Albanian language
what is shakira's nationality?,Colombia
who is playing bilbo baggins?,"Norman Bird, Martin Freeman, Ian Holm"
what position did george washington serve in the constitutional convention?,Delegate to the Continental Congress
where is the 2012 ncaa basketball tournament?,"NCAA March Madness: Cinderellas, Superstars, and Champions from the NCAA Men's Final Four"
what episode did kate leave ncis?,Kill Ari - Part 1
what did farrah dad do?,Track and field athlete
where did matt barnes play?,Small forward
where does the jordan river begin?,Anti-Lebanon mountains
what college did lil wayne graduated from?,University of Phoenix
what years did the knicks win the championship?,"1970 NBA Finals, 1973 NBA Finals"
what is the time zone in uk now?,"Greenwich Mean Time, UTC±00:00"
what does dustin diamond do now?,"Film Director, Musician, Comedian, Actor"
where are google headquarters located?,Mountain View
who is princess leia?,Star Wars
what was richard wright known for?,Keyboard player
where is the nascar hall of fame?,"Charlotte, North Carolina"
what was the name of wright brothers plane?,"Wright Model B, Wright Model C, Wright Flyer, Wright Model EX, 1902 Wright Glider, 1900 Wright Glider"
where is located university of leeds?,"United Kingdom, Leeds"
who is gilbert gottfried snl?,Actor
what language do they denmark?,Danish Language
what team did grover cleveland alexander play for?,"Philadelphia Phillies, Chicago Cubs"
what was eli whitney nationality?,United States of America
what was christiaan barnard famous for?,Surgeon
where was dwight d. eisenhower from?,United States of America
what to do washington dc december?,"White House, The Phillips Collection, United States Capitol, Thomas Jefferson Memorial, National Museum of the American Indian, International Spy Museum, National Portrait Gallery, Washington Monument, Lincoln Memorial, Freer Gallery of Art"
what language is spoken in singapore?,"Malay Language, Tamil Language, Standard Mandarin, English Language"
who is sanjay gupta married too?,Rebecca Olson Gupta
what movies did luke perry play in?,Battle Scars: The Bud Moore Story
who wrote the book of st. john?,John the Evangelist
who is kobe bryant dad?,Joe Bryant
what continent does israel belong to?,Asia
where is thomas jefferson's home?,Monticello
what is wentworth miller in?,Prison Break
what is the capital of spain in 2010?,Madrid
who killed harvey milk?,Dan White
who owns nissan car manufacturer?,"Nissan Motor Manufacturing UK, Jatco, Infiniti, Nissan North America, Nissan Motor Car Carrier"
where is the university of west alabama located?,"Alabama, Livingston, United States of America"
what did kenny everett die off?,AIDS
what main language do they speak in brazil?,Portuguese Language
how many australian states and territories?,"City of Moreland, Northern Territory, Western Australia, Australian Capital Territory, Victoria, Town of Cottesloe, New South Wales, Queensland, Tasmania, South Australia"
what was manchester united first name?,Newton Heath L&YR F.C.
who is the governor of hawaii now?,Neil Abercrombie
where did elvis presley started his career?,Memphis
what happened vince mcmahon?,"Professional Wrestling Promoter, Film Director, Television Producer, Announcer, Film Producer, Actor, Wrestler, Sports commentator, Screenwriter"
what jobs did harriet tubman have?,Writer
where does unesco operate?,Paris
where in the bible does it talk about david?,"Psalm 145, Books of Samuel, Books of Chronicles, Psalms"
what does amanda seyfried play in?,"Boogie Woogie, Jennifer's Body, Chloe, Dear John, Nine Lives, Solstice, Mamma Mia!, American Gun, Mean Girls, Alpha Dog"
what language do people speak in iran?,Persian
what is the jurisdiction of the us supreme court?,United States of America
who is the leader of japan?,Shinzō Abe
what time zone is the uk in right now?,"Greenwich Mean Time, UTC±00:00"
what instrument does bela fleck play?,Banjo
what position does ray allen?,Shooting guard
where did chancellorsville battle take place?,Spotsylvania County
what year was the cubs last world series?,1908 World Series
who is playing hawkeye in the avengers movie?,Jeremy Renner
who was king or queen after victoria?,Edward VII
what movie did rihanna play in?,"This Is the End, Battleship, Happy Smekday!"
when was the last time the oakland raiders were in the super bowl?,2003 NFL season
what religion was mary todd lincoln?,"Presbyterianism, Baptists, Catholicism"
who all has jason kidd played for?,"New York Knicks, Phoenix Suns, Brooklyn Nets, Dallas Mavericks"
where is headquarters of verizon?,New York
where is the country of cyprus located?,"Europe, Mediterranean Sea, Cyprus, Asia, Eurasia"
who invented dell computer?,Michael S. Dell
where did bob barker grow up?,South Dakota
what are king charles spaniels?,Dog
when was the chinese flag designed?,"Traditional Chinese characters, Chinese, Simplified Chinese character, 'Phags-pa script, Nüshu script, Chinese characters"
where did boston terriers come from?,United States of America
what year did the new york mets start?,1962
where did neil gaiman grow up?,Menomonie
what books did aristotle wrote?,"Atheniensium respublica, Nicomachean Ethics, Dell'interpretazione, L' anima, Physique, Über die Seele, Les metheores d'Aristote, Aristotelis stagiritae, pepli fragmentum, De anima, in the version of William of Moerbeke, Prior Analytics and Posterior Analytics"
who runs the cornelia marie now?,Jake Harris
where did john muir die?,Los Angeles
where was selena gomez raised?,Grand Prairie
what countries are in the andean region?,"Brazil, Ecuador, Peru, Colombia"
when was the last time the san francisco giants won a world series?,2012 World Series
what airport do you fly into for destin?,"Northwest Florida Regional Airport, Destin–Fort Walton Beach Airport"
who played violet's mother in charlie and the chocolate factory?,Kansas City Athletics
what country was george washington from?,Kingdom of Great Britain
where does kyla ross live?,Aliso Viejo
when did allen iverson get drafted?,1996–97 NBA season
what does jackson browne sing?,Before the Deluge
who plays ferris bueller's best friend?,Alan Ruck
what are the team colors for the pittsburgh steelers?,"White, Black, Gold"
what is the current government system in france?,"Semi-presidential system, Constitutional republic, Unitary state"
what did roy rogers die of?,Congestive Heart Failure
what did the new orleans hornets used to be?,Charlotte Hornets
what are the major religions practiced in israel?,Judaism
what does jamaica manufacturer?,"Desnoes & Geddes Dragon Stout, Red Stripe, Desnoes & Geddes Red Stripe Lager"
what years did andrew jackson run for president?,3/4/1829
where did madoff live in nyc?,Queens
how many languages are there in the philippines?,"Filipino language, Kapampangan language, Cebuano language, English Language, Ilokano language, Tagalog language, Hiligaynon language, Pangasinan Language, Waray-Waray Language"
what song is monifah famous for?,Touch It
who did heinrich himmler marry?,Margarete Boden
who was josh groban in crazy stupid love?,Richard
where is the columbia university located?,New York
what team does kris humphries play for in 2011?,Brooklyn Nets
what did the scientist thomson discover?,"Electron, Mass spectrometry"
who was carrie underwood in soul surfer?,Sarah Hill
who plays lois griffin in family guy?,Alex Borstein
what did julian fellowes write?,"Never Mind the Full Stops, Julian Fellowes Investigates: A Most Mysterious Murder, My Son, My Son, Sharpe, Monarch of the Glen, Our Friends in the North"
who does the islam worship?,Allah
who was married to lance armstrong?,Kristin Richard
what is venus named for?,Planet
who did john fox coach for?,Denver Broncos
what years have the dodgers won the world series?,"1988 World Series, 1959 World Series, 1963 World Series, 1965 World Series, 1981 World Series"
what did farrah have surgery for?,Anal cancer
who was the leader of the soviet union in 1945?,Joseph Stalin
who does john beck play for?,"Washington Redskins, Miami Dolphins, Baltimore Ravens, Houston Texans"
what movies have kenya moore produced?,"Trois, The Confidant, No Turning Back, Senseless, Cloud 9, Waiting to Exhale, I Know Who Killed Me, Hot Parts, Deliver Us from Eva, Brothers in Arms"
